Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,13.222,13.354,13.222,13.354,9.472669,0
1/3/2020,13.222,13.222,13.07,13.07,9.271213,1494
1/6/2020,12.872,12.896,12.668,12.896,9.147785,956
1/7/2020,12.982,12.982,12.958,12.958,9.191767,747
1/8/2020,12.768,12.798,12.768,12.782,9.06692,747
1/9/2020,12.942,12.942,12.832,12.832,9.102387,747
1/10/2020,12.83,12.83,12.814,12.814,9.08962,0
1/13/2020,12.858,12.858,12.746,12.746,9.041384,0
1/14/2020,12.76,12.76,12.722,12.722,9.02436,747
1/15/2020,12.642,12.642,12.44,12.484,8.855535,2433
1/16/2020,12.426,12.444,12.394,12.444,8.82716,747
1/17/2020,12.514,12.514,12.436,12.436,8.821486,0
1/20/2020,12.41,12.45,12.41,12.45,8.831416,0
1/21/2020,12.408,12.408,12.336,12.336,8.75055,747
1/22/2020,12.346,12.346,12.202,12.202,8.655496,747
1/23/2020,12.13,12.13,11.978,12.07,8.561864,1994
1/24/2020,12.168,12.254,12.122,12.122,8.598748,2241
1/27/2020,11.938,11.938,11.808,11.856,8.410061,747
1/28/2020,11.906,12.034,11.906,12.014,8.522139,824
1/29/2020,11.978,12.142,11.978,12.142,8.612936,0
1/30/2020,11.966,11.966,11.934,11.934,8.465391,747
1/31/2020,11.896,11.896,11.718,11.73,8.320683,510
2/3/2020,11.76,11.898,11.76,11.794,8.366081,600
2/4/2020,11.878,12.11,11.878,12.038,8.539164,747
2/5/2020,11.96,12.324,11.96,12.324,8.742038,3313
2/6/2020,12.408,12.716,12.408,12.45,8.831416,2880
2/7/2020,12.31,12.31,12.166,12.208,8.659754,1055
2/10/2020,12.156,12.156,12.01,12.01,8.519301,0
2/11/2020,12.2,12.2,12.062,12.114,8.593074,4834
2/12/2020,12.216,12.608,12.216,12.608,8.943494,1308
2/13/2020,12.444,12.444,12.438,12.438,8.822904,0
2/14/2020,12.434,12.434,12.254,12.254,8.692383,0
2/17/2020,12.344,12.344,12.332,12.332,8.747712,0
2/18/2020,12.186,12.192,12.186,12.192,8.648404,0
2/19/2020,12.206,12.262,12.206,12.262,8.698058,0
2/20/2020,12.216,12.278,12.216,12.278,8.709408,0
2/21/2020,12.2,12.2,12.056,12.084,8.571793,776
2/24/2020,11.356,11.356,11.356,11.356,8.055386,0
2/25/2020,11.384,11.384,11.276,11.276,7.998638,2394
2/26/2020,11.292,11.956,11.292,11.792,8.364663,3588
2/27/2020,11.562,11.61,11.44,11.61,8.235561,4404
2/28/2020,11.332,11.37,11.128,11.25,7.980195,2841
3/2/2020,10.952,10.952,10.684,10.87,7.710641,1869
3/3/2020,10.97,11.048,10.928,10.928,7.751785,747
3/4/2020,10.838,11.018,10.838,10.97,7.781577,2241
3/5/2020,10.98,10.98,10.86,10.86,7.703548,747
3/6/2020,10.542,10.564,10.46,10.524,7.465206,2241
3/9/2020,9.456,9.456,9.456,9.456,6.707621,0
3/10/2020,9.468,9.503,9.262,9.352,6.633848,10176
3/11/2020,9.54,9.563,9.417,9.495,6.735285,5721
3/12/2020,8.877,8.943,7.855,7.855,5.571949,2120
3/13/2020,8.455,8.455,8.455,8.455,5.99756,747
3/16/2020,7.151,7.151,7.151,7.151,5.072567,0
3/17/2020,6.85,6.934,6.71,6.825,4.841318,13519
3/18/2020,6.623,6.623,6.024,6.024,4.273128,1996
3/19/2020,6.218,6.218,6.164,6.164,4.372438,1247
3/20/2020,6.22,6.229,6.078,6.078,4.311433,1494
3/23/2020,5.839,5.935,5.785,5.894,4.180912,18050
3/24/2020,6.122,6.481,6.086,6.481,4.597302,6629
3/25/2020,6.733,6.889,6.474,6.801,4.824294,14093
3/26/2020,6.743,6.916,6.674,6.916,4.905869,10238
3/27/2020,6.809,6.809,6.55,6.576,4.66469,8323
3/30/2020,6.445,6.445,6.173,6.391,4.53346,15849
3/31/2020,6.362,6.639,6.35,6.534,4.634897,8321
4/1/2020,6.404,6.424,6.296,6.386,4.529913,11069
4/2/2020,6.229,6.306,6.17,6.226,4.416417,15782
4/3/2020,6.387,6.387,6.241,6.241,4.427057,3360
4/6/2020,6.409,6.579,6.409,6.579,4.666818,11656
4/7/2020,6.916,7.222,6.916,7.076,5.019365,11355
4/8/2020,7.112,7.13,7.032,7.13,5.05767,6991
4/9/2020,7.411,7.495,7.411,7.489,5.312327,2173
4/14/2020,7.489,7.698,7.489,7.698,5.460582,1565
4/15/2020,7.506,7.506,7.103,7.124,5.053414,14109
4/16/2020,7.082,7.256,7.082,7.175,5.089591,9825
4/17/2020,7.406,7.406,7.274,7.315,5.1889,3879
4/20/2020,7.389,7.41,7.389,7.41,5.81251,2154
4/21/2020,7.17,7.17,7.138,7.138,5.599149,300
4/22/2020,7.175,7.269,7.175,7.227,5.668962,4568
4/23/2020,7.298,7.512,7.298,7.512,5.892519,4942
4/24/2020,7.394,7.394,7.364,7.364,5.776426,4213
4/27/2020,7.6,7.636,7.6,7.636,5.989787,266
4/28/2020,7.726,8.06,7.726,7.872,6.174908,12525
4/29/2020,7.969,8.18,7.962,8.169,6.407879,15055
4/30/2020,8.012,8.139,8.008,8.045,6.310613,15613
5/4/2020,7.266584,7.266584,7.206827,7.208724,5.654626,4670
5/5/2020,7.393685,7.420243,7.215364,7.248562,5.685875,10885
5/6/2020,7.345311,7.345311,7.186908,7.257099,5.692572,9900
5/7/2020,7.244768,7.244768,7.197342,7.239077,5.678435,1233
5/8/2020,7.270378,7.347208,7.270378,7.347208,5.763255,3299
5/11/2020,7.450596,7.450596,7.231489,7.258996,5.69406,10922
5/12/2020,7.21157,7.221055,7.21157,7.221055,5.664299,1686
5/13/2020,7.000999,7.108182,6.905199,7.002896,5.493171,11026
5/14/2020,6.842597,6.842597,6.63582,6.795171,5.330229,17601
5/15/2020,6.838803,6.868207,6.812244,6.827421,5.355526,16325
5/18/2020,6.91089,7.406016,6.91089,7.406016,5.809384,8708
5/19/2020,7.568212,7.568212,6.959265,7.060756,5.538558,19677
5/20/2020,7.037991,7.037991,6.631078,6.916581,5.425465,21393
5/21/2020,6.88528,7.14138,6.88528,6.942191,5.445554,14780
5/22/2020,7.168887,7.168887,6.988669,7.011433,5.499868,13199
5/25/2020,7.173629,7.28176,7.172681,7.28176,5.711916,1581
5/26/2020,7.466721,7.604256,7.466721,7.538808,5.913548,13062
5/27/2020,7.832848,7.914421,7.679188,7.773092,6.097324,16362
5/28/2020,7.82526,7.82526,7.759812,7.805341,6.122621,11344
5/29/2020,7.507507,7.631763,7.507507,7.510353,5.891228,20900
6/2/2020,7.931494,7.931494,7.931494,7.931494,6.221577,0
6/3/2020,8.13827,8.296673,8.13827,8.290982,6.503564,8181
6/4/2020,8.256835,8.339356,8.217946,8.279599,6.494636,14396
6/5/2020,8.520523,8.847761,8.520523,8.847761,6.94031,23225
6/8/2020,9.049795,9.05264,8.916054,8.916054,6.99388,4949
6/9/2020,8.771879,8.772828,8.537596,8.537596,6.697011,9514
6/10/2020,8.423774,8.451281,8.226482,8.235019,6.459666,11279
6/11/2020,8.235019,8.235019,8.235019,8.235019,6.459666,0
6/12/2020,7.847076,7.896399,7.723769,7.723769,6.058634,14464
6/15/2020,7.665909,7.820517,7.629866,7.752224,6.080955,16215
6/16/2020,8.088948,8.105072,7.906832,8.008324,6.281843,7037
6/17/2020,8.141116,8.141116,7.960898,7.961846,6.245385,10369
6/18/2020,8.007375,8.032037,7.868892,7.92106,6.213392,31280
6/19/2020,8.005478,8.021603,7.945722,7.97892,6.258779,9061
6/22/2020,8.1193,8.168623,8.1193,8.128785,6.376335,7055
6/23/2020,8.15155,8.606838,8.15155,8.606838,6.751327,0
6/24/2020,8.646675,8.646675,8.244504,8.244504,6.467106,0
6/25/2020,8.365914,8.365914,8.365914,8.365914,6.562342,0
6/26/2020,8.19613,8.19613,8.19613,8.19613,6.429161,0
6/29/2020,8.280548,8.411443,8.275805,8.346944,6.547462,15840
6/30/2020,8.382039,8.492067,8.373503,8.479736,6.651626,6599
7/1/2020,8.479736,8.479736,8.479736,8.479736,6.651626,0
7/2/2020,8.558463,8.600198,8.513883,8.584073,6.733469,6717
7/3/2020,8.584073,8.584073,8.584073,8.584073,6.733469,0
7/6/2020,8.702638,8.71402,8.45792,8.513883,6.678411,4825
7/7/2020,8.493964,8.603992,8.493964,8.526214,6.688084,2607
7/8/2020,8.502501,8.502501,8.327974,8.327974,6.532581,4104
7/9/2020,8.278651,8.322283,8.2151,8.2151,6.444041,5734
7/10/2020,8.340304,8.376348,8.297621,8.371605,6.566806,10206
7/13/2020,8.482582,8.587867,8.482582,8.587867,6.736444,9884
7/14/2020,8.498707,8.498707,8.404804,8.486376,6.656834,2810
7/15/2020,8.598301,8.6628,8.598301,8.622014,6.76323,8233
7/16/2020,8.620117,8.696947,8.620117,8.693153,6.819033,7346
7/17/2020,8.740578,8.740578,8.678925,8.678925,6.807872,4752
7/20/2020,8.624859,8.733939,8.624859,8.709277,6.83168,7476
7/21/2020,8.780416,8.780416,8.743424,8.754806,6.867394,1652
7/22/2020,8.796541,8.796541,8.539493,8.650469,6.785552,5868
7/23/2020,8.760497,8.844915,8.742475,8.769982,6.879299,4071
7/24/2020,8.622962,8.639087,8.572691,8.597352,6.743886,8630
7/27/2020,8.622014,8.647624,8.539493,8.633396,6.772159,2863
7/28/2020,8.872422,8.874319,8.78421,8.78421,6.890459,4746
7/29/2020,8.89329,8.89329,8.690307,8.699792,6.824241,2623
7/30/2020,8.676079,8.676079,8.329871,8.329871,6.53407,4395
7/31/2020,8.34979,8.475942,8.182851,8.209409,6.439577,15564
