Date,Open,High,Low,Close,Adj Close,Volume
1/2/2013,13.23,13.28,13,13.2,8.963328,75274700
1/3/2013,13.24,13.7,13.05,13.46,9.139877,121284700
1/4/2013,13.51,13.61,13.35,13.57,9.214575,54669900
1/7/2013,13.52,13.58,13.35,13.43,9.11951,43482400
1/8/2013,13.38,13.43,13.2,13.35,9.065185,46336200
1/9/2013,13.4,13.6,13.39,13.47,9.14667,36973900
1/10/2013,13.78,13.94,13.68,13.83,9.391124,84884300
1/11/2013,14,14.07,13.9,14,9.50656,67641200
1/14/2013,14.04,14.08,13.86,13.99,9.499769,46224800
1/15/2013,13.91,14.3,13.89,14.3,9.710271,55425000
1/16/2013,14.16,14.25,14.01,14.22,9.655948,51453400
1/17/2013,14.27,14.3,14.07,14.22,9.655948,44299300
1/18/2013,14.1,14.13,13.97,14.11,9.581256,45716100
1/22/2013,14.06,14.19,14,14.17,9.621998,35467900
1/23/2013,14,14.02,13.79,13.88,9.425077,58122200
1/24/2013,13.82,13.98,13.81,13.87,9.418285,42532700
1/25/2013,13.83,13.84,13.64,13.68,9.289269,53405400
1/28/2013,13.49,13.82,13.42,13.78,9.426077,51189300
1/29/2013,13.56,13.61,12.89,13.14,8.988292,131146500
1/30/2013,13.01,13.2,12.89,12.93,8.844642,59595900
1/31/2013,12.86,13.02,12.67,12.95,8.858322,65844000
2/1/2013,13.1,13.13,12.94,13.02,8.906205,45222500
2/4/2013,12.94,13,12.86,12.88,8.810439,32702200
2/5/2013,12.97,13.25,12.94,13.18,9.015652,39116500
2/6/2013,13.13,13.27,13.05,13.2,9.029333,33520400
2/7/2013,13.26,13.31,13,13.07,8.940407,33987500
2/8/2013,13.1,13.16,13.05,13.1,8.960928,18613300
2/11/2013,13.06,13.2,13.02,13.11,8.967768,17688900
2/12/2013,13.12,13.2,13.05,13.08,8.947248,26243300
2/13/2013,13.11,13.14,12.99,13.04,8.919886,24503600
2/14/2013,13,13.17,12.96,13.11,8.967768,33489000
2/15/2013,13.14,13.14,13.01,13.02,8.906205,32418700
2/19/2013,13.04,13.09,12.9,12.99,8.885684,31089900
2/20/2013,12.95,12.98,12.57,12.6,8.618909,50381800
2/21/2013,12.51,12.51,12.3,12.39,8.47526,43703700
2/22/2013,12.44,12.5,12.31,12.48,8.536824,23866400
2/25/2013,12.53,12.57,12.1,12.13,8.297405,38627200
2/26/2013,12.24,12.35,12.11,12.34,8.441056,29191400
2/27/2013,12.35,12.85,12.35,12.76,8.728354,51569900
2/28/2013,12.78,12.87,12.6,12.61,8.625748,37659400
3/1/2013,12.56,12.75,12.38,12.61,8.625748,38806100
3/4/2013,12.55,12.75,12.53,12.75,8.721512,24337100
3/5/2013,12.87,12.98,12.79,12.87,8.803598,26863200
3/6/2013,12.97,13,12.85,12.89,8.817279,28953400
3/7/2013,12.89,12.91,12.77,12.83,8.776237,27702800
3/8/2013,12.94,12.99,12.81,12.98,8.878844,24715100
3/11/2013,12.97,13.4,12.9,13.34,9.125098,48696900
3/12/2013,13.37,13.47,13.17,13.39,9.159301,46047600
3/13/2013,13.37,13.45,13.35,13.4,9.166142,26467800
3/14/2013,13.43,13.45,13.37,13.43,9.186663,31653300
3/15/2013,13.31,13.45,13.26,13.45,9.200343,62961000
3/18/2013,13.16,13.39,12.8,13.26,9.070374,36877600
3/19/2013,13.27,13.35,13.09,13.16,9.001971,37639900
3/20/2013,13.22,13.4,13.18,13.36,9.138777,32690500
3/21/2013,13.25,13.42,13.23,13.26,9.070374,29740300
3/22/2013,13.24,13.31,13.2,13.26,9.070374,21423900
3/25/2013,13.31,13.4,13.26,13.29,9.090896,27238000
3/26/2013,13.35,13.37,13.24,13.31,9.104575,24236700
3/27/2013,13.23,13.25,13.1,13.22,9.043013,26240600
3/28/2013,13.24,13.24,13.1,13.15,8.995131,25472400
4/1/2013,13.01,13.15,12.9,12.9,8.824119,32961500
4/2/2013,13,13.19,12.96,13.01,8.899365,35189300
4/3/2013,13.05,13.05,12.59,12.68,8.673632,45189000
4/4/2013,12.68,12.78,12.45,12.65,8.653109,29803800
4/5/2013,12.43,12.5,12.15,12.44,8.509461,42605700
4/8/2013,12.46,12.83,12.4,12.78,8.742034,23884700
4/9/2013,12.85,12.96,12.75,12.8,8.755716,29826000
4/10/2013,12.87,13.13,12.82,13.12,8.974609,31089600
4/11/2013,13.15,13.58,13.13,13.55,9.268747,51493300
4/12/2013,13.43,13.55,13.26,13.53,9.255067,37955000
4/15/2013,13.36,13.46,12.91,12.95,8.858322,55885900
4/16/2013,13.17,13.24,13,13.12,8.974609,36338200
4/17/2013,12.97,13.05,12.8,12.93,8.844642,44583600
4/18/2013,12.94,12.98,12.65,12.75,8.721512,34877900
4/19/2013,12.88,12.97,12.75,12.93,8.844642,26971400
4/22/2013,12.97,13.08,12.8,13.06,8.933567,26082200
4/23/2013,13.12,13.45,13.11,13.36,9.138777,40082600
4/24/2013,13.48,13.54,13.12,13.33,9.118258,46026300
4/25/2013,13.4,13.56,13.35,13.47,9.214024,42016000
4/26/2013,13.52,13.76,13.45,13.67,9.350833,43814900
4/29/2013,13.73,13.76,13.57,13.66,9.34399,20659200
4/30/2013,13.66,13.74,13.52,13.71,9.378193,24858800
5/1/2013,13.64,13.78,13.35,13.38,9.219705,39344800
5/2/2013,13.54,13.55,13.38,13.41,9.24038,33982900
5/3/2013,13.58,13.83,13.57,13.83,9.529789,45933600
5/6/2013,13.86,14.15,13.83,14.09,9.708943,53821400
5/7/2013,14.2,14.25,14.09,14.19,9.777849,42070400
5/8/2013,14.15,14.24,14.1,14.21,9.791635,33334600
5/9/2013,14.19,14.26,14.16,14.2,9.784744,30575000
5/10/2013,14.21,14.23,14.02,14.11,9.722727,30885100
5/13/2013,14.1,14.12,13.92,14.01,9.653818,22758500
5/14/2013,14,14.3,13.98,14.27,9.832975,32390700
5/15/2013,14.28,14.77,14.27,14.67,10.108603,56875000
5/16/2013,14.77,14.85,14.6,14.64,10.087932,40924300
5/17/2013,14.79,15.15,14.75,15.08,10.391121,59729800
5/20/2013,15.01,15.23,15,15.05,10.370449,34580000
5/21/2013,15.07,15.22,14.75,14.95,10.301541,61840300
5/22/2013,15.08,15.32,14.86,14.97,10.315322,67147900
5/23/2013,14.5,14.94,14.37,14.81,10.205073,49128700
5/24/2013,14.71,14.88,14.66,14.79,10.191291,25287100
5/28/2013,15.22,15.35,15.1,15.28,10.528932,59250500
5/29/2013,15.27,15.72,15.24,15.63,10.770105,65167400
5/30/2013,15.76,16.02,15.74,15.9,10.956154,61805000
5/31/2013,15.88,16.040001,15.68,15.68,10.804557,52117500
6/3/2013,15.93,16.08,15.51,15.89,10.949263,59017900
6/4/2013,15.98,16.09,15.63,15.78,10.873465,50273400
6/5/2013,15.7,15.71,15.18,15.25,10.508262,64862400
6/6/2013,15.25,15.48,15.06,15.44,10.639184,54819200
6/7/2013,15.58,15.76,15.46,15.73,10.839012,37099500
6/10/2013,15.86,15.9,15.6,15.71,10.825233,29589300
6/11/2013,15.52,15.68,15.4,15.51,10.687421,35360600
6/12/2013,15.63,15.71,15.31,15.37,10.590948,36207400
6/13/2013,15.31,15.6,15.18,15.58,10.735654,34327500
6/14/2013,15.52,15.57,15.35,15.37,10.590948,27186000
6/17/2013,15.53,15.72,15.44,15.55,10.714981,31340000
6/18/2013,15.54,15.71,15.44,15.65,10.783888,25950200
6/19/2013,15.6,15.62,15.31,15.32,10.556499,35997500
6/20/2013,15.19,15.28,14.75,14.82,10.211965,57313900
